plug_label,colony_id,treat_tank,rack,device_label,coordinate,rack_position,table,y,x,tray_coord
1080,F,L_RIC_1,1,501,1,1_1,A,1,1,1_1
771,D,C_1,1,502,2,1_2,A,2,1,2_1
275,B,S_SD_3,1,503,3,1_3,A,3,1,3_1
545,C,L_SS8_2,1,504,4,1_4,A,4,1,4_1
388,C,M_SD_2,1,505,5,1_5,A,1,2,1_2
403,C,S_SD_2,1,506,6,1_6,A,2,2,2_2
253,B,M_SD_1,1,507,7,1_7,A,3,2,3_2
1128,F,L_RIC_2,1,508,8,1_8,A,4,2,4_2
932,E,S_SS8_1,1,509,9,1_9,A,1,3,1_3
306,B,M_RIC_1,1,510,10,1_10,A,2,3,2_3
982,E,L_RIC_3,1,511,11,1_11,A,3,3,3_3
744,D,S_SS8_3,1,512,12,1_12,A,4,3,4_3
785,D,L_SD_2,1,513,13,1_13,A,1,4,1_4
957,E,M_SD_3,1,514,14,1_14,A,2,4,2_4
104,A,M_SD_1,1,515,15,1_15,A,3,4,3_4
265,B,S_RIC_1,1,516,16,1_16,A,4,4,4_4
908,E,L_SS8_2,1,517,17,1_17,A,1,5,1_5
108,A,S_SS8_1,1,518,18,1_18,A,2,5,2_5
562,C,M_SD_3,1,519,19,1_19,A,3,5,3_5
69,A,C_3,1,520,20,1_20,A,4,5,4_5
160,A,L_SS8_1,1,521,21,1_21,A,1,6,1_6
707,D,M_SD_2,1,522,22,1_22,A,2,6,2_6
185,B,M_SS8_1,1,523,23,1_23,A,3,6,3_6
1188,F,S_SS8_2,1,524,24,1_24,A,4,6,4_6
1041,F,C_2,2,525,1,2_1,A,1,1,1_1
375,C,M_SD_1,2,526,2,2_2,A,2,1,2_1
18,A,S_SS8_1,2,527,3,2_3,A,3,1,3_1
87,A,L_SD_1,2,528,4,2_4,A,4,1,4_1
267,B,L_RIC_2,2,529,5,2_5,A,1,2,1_2
399,C,S_RIC_1,2,530,6,2_6,A,2,2,2_2
255,B,M_SD_3,2,531,7,2_7,A,3,2,3_2
589,C,L_SD_3,2,532,8,2_8,A,4,2,4_2
922,E,L_SS8_1,2,533,9,2_9,A,1,3,1_3
282,B,M_SS8_1,2,534,10,2_10,A,2,3,2_3
445,C,L_RIC_2,2,535,11,2_11,A,3,3,3_3
637,D,M_SS8_1,2,536,12,2_12,A,4,3,4_3
1035,F,M_SS8_2,2,537,13,2_13,A,1,4,1_4
322,B,M_SD_3,2,538,14,2_14,A,2,4,2_4
320,B,S_SS8_2,2,539,15,2_15,A,3,4,3_4
569,C,M_RIC_2,2,540,16,2_16,A,4,4,4_4
998,F,L_SS8_1,2,541,17,2_17,A,1,5,1_5
192,B,L_SD_3,2,542,18,2_18,A,2,5,2_5
86,A,S_SS8_3,2,543,19,2_19,A,3,5,3_5
1087,F,C_2,2,544,20,2_20,A,4,5,4_5
924,E,M_SS8_3,2,545,21,2_21,A,1,6,1_6
1096,F,M_SD_2,2,546,22,2_22,A,2,6,2_6
215,B,C_1,2,547,23,2_23,A,3,6,3_6
961,E,L_SD_2,2,548,24,2_24,A,4,6,4_6
333,C,S_RIC_1,3,549,1,3_1,A,1,1,1_1
232,B,L_SS8_3,3,550,2,3_2,A,2,1,2_1
62,A,L_RIC_1,3,551,3,3_3,A,3,1,3_1
833,E,L_SS8_3,3,552,4,3_4,A,4,1,4_1
349,C,C_2,3,553,5,3_5,A,1,2,1_2
999,F,S_SD_1,3,554,6,3_6,A,2,2,2_2
217,B,L_SD_1,3,555,7,3_7,A,3,2,3_2
228,B,S_SD_1,3,556,8,3_8,A,4,2,4_2
250,B,M_SS8_1,3,557,9,3_9,A,1,3,1_3
831,E,M_SS8_2,3,558,10,3_10,A,2,3,2_3
84,A,M_SS8_3,3,559,11,3_11,A,3,3,3_3
7,A,S_SD_1,3,560,12,3_12,A,4,3,4_3
116,A,C_3,3,561,13,3_13,A,1,4,1_4
668,D,S_SD_1,3,562,14,3_14,A,2,4,2_4
769,D,S_SS8_3,3,563,15,3_15,A,3,4,3_4
453,C,S_SS8_2,3,564,16,3_16,A,4,4,4_4
688,D,L_SD_1,3,565,17,3_17,A,1,5,1_5
436,C,M_SS8_1,3,566,18,3_18,A,2,5,2_5
521,C,L_SS8_2,3,567,19,3_19,A,3,5,3_5
559,C,S_SS8_2,3,568,20,3_20,A,4,5,4_5
966,E,C_2,3,569,21,3_21,A,1,6,1_6
100,A,L_SD_3,3,570,22,3_22,A,2,6,2_6
392,C,S_RIC_3,3,571,23,3_23,A,3,6,3_6
452,C,L_SS8_2,3,572,24,3_24,A,4,6,4_6
944,E,C_3,4,573,1,4_1,A,1,1,1_1
286,B,M_RIC_1,4,574,2,4_2,A,2,1,2_1
1171,F,M_RIC_3,4,575,3,4_3,A,3,1,3_1
953,E,L_SS8_3,4,576,4,4_4,A,4,1,4_1
209,B,S_SD_3,4,577,5,4_5,A,1,2,1_2
1054,F,S_SS8_1,4,578,6,4_6,A,2,2,2_2
537,C,L_RIC_3,4,579,7,4_7,A,3,2,3_2
933,E,L_SS8_1,4,580,8,4_8,A,4,2,4_2
464,C,M_RIC_3,4,581,9,4_9,A,1,3,1_3
5,A,M_SS8_3,4,582,10,4_10,A,2,3,2_3
124,A,M_SD_3,4,583,11,4_11,A,3,3,3_3
976,E,M_SS8_2,4,584,12,4_12,A,4,3,4_3
429,C,S_RIC_1,4,585,13,4_13,A,1,4,1_4
475,C,L_SS8_3,4,586,14,4_14,A,2,4,2_4
27,A,S_SD_2,4,587,15,4_15,A,3,4,3_4
1090,F,C_1,4,588,16,4_16,A,4,4,4_4
588,C,S_SS8_2,4,589,17,4_17,A,1,5,1_5
677,D,C_1,4,590,18,4_18,A,2,5,2_5
655,D,L_SS8_2,4,591,19,4_19,A,3,5,3_5
792,D,L_SS8_3,4,592,20,4_20,A,4,5,4_5
292,B,L_SS8_3,4,593,21,4_21,A,1,6,1_6
231,B,M_SS8_1,4,594,22,4_22,A,2,6,2_6
1066,F,S_SD_2,4,595,23,4_23,A,3,6,3_6
241,B,M_SS8_2,4,596,24,4_24,A,4,6,4_6
861,E,S_SD_2,5,597,1,5_1,A,1,1,1_1
195,B,S_SD_3,5,598,2,5_2,A,2,1,2_1
752,D,M_SS8_2,5,599,3,5_3,A,3,1,3_1
878,E,L_RIC_1,5,600,4,5_4,A,4,1,4_1
1120,F,M_SD_2,5,601,5,5_5,A,1,2,1_2
756,D,S_SD_1,5,602,6,5_6,A,2,2,2_2
1003,F,S_SS8_3,5,603,7,5_7,A,3,2,3_2
774,D,M_SD_2,5,604,8,5_8,A,4,2,4_2
342,C,L_SD_3,5,605,9,5_9,A,1,3,1_3
96,A,S_SD_1,5,606,10,5_10,A,2,3,2_3
1174,F,L_SD_3,5,607,11,5_11,A,3,3,3_3
43,A,L_SS8_1,5,608,12,5_12,A,4,3,4_3
236,B,C_1,5,609,13,5_13,A,1,4,1_4
109,A,M_SD_2,5,610,14,5_14,A,2,4,2_4
263,B,L_RIC_3,5,611,15,5_15,A,3,4,3_4
704,D,M_SD_2,5,612,16,5_16,A,4,4,4_4
618,D,S_SD_3,5,613,17,5_17,A,1,5,1_5
495,C,M_SS8_3,5,614,18,5_18,A,2,5,2_5
270,B,L_SS8_1,5,615,19,5_19,A,3,5,3_5
220,B,S_SD_1,5,616,20,5_20,A,4,5,4_5
733,D,L_RIC_1,5,617,21,5_21,A,1,6,1_6
219,B,L_RIC_2,5,618,22,5_22,A,2,6,2_6
548,C,S_SS8_2,5,619,23,5_23,A,3,6,3_6
256,B,S_SS8_1,5,620,24,5_24,A,4,6,4_6
167,A,S_RIC_3,6,621,1,6_1,A,1,1,1_1
529,C,L_SS8_3,6,622,2,6_2,A,2,1,2_1
1019,F,S_SS8_1,6,623,3,6_3,A,3,1,3_1
315,B,M_SD_2,6,624,4,6_4,A,4,1,4_1
364,C,M_SD_2,6,625,5,6_5,A,1,2,1_2
1197,F,M_SD_2,6,626,6,6_6,A,2,2,2_2
17,A,L_RIC_1,6,627,7,6_7,A,3,2,3_2
931,E,C_1,6,628,8,6_8,A,4,2,4_2
1012,F,L_RIC_2,6,629,9,6_9,A,1,3,1_3
721,D,M_SD_3,6,630,10,6_10,A,2,3,2_3
136,A,M_SD_1,6,631,11,6_11,A,3,3,3_3
162,A,L_SD_1,6,632,12,6_12,A,4,3,4_3
467,C,M_SS8_1,6,633,13,6_13,A,1,4,1_4
661,D,M_SS8_3,6,634,14,6_14,A,2,4,2_4
1202,F,M_SS8_2,6,635,15,6_15,A,3,4,3_4
71,A,M_SD_3,6,636,16,6_16,A,4,4,4_4
266,B,S_RIC_2,6,637,17,6_17,A,1,5,1_5
