date,weeks_postb,bleach_treat,colony_id,dead,n
7/10/23,-3,Control,A,0,21
7/10/23,-3,Control,B,0,20
7/10/23,-3,Control,C,0,21
7/10/23,-3,Control,D,0,23
7/10/23,-3,Control,E,0,20
7/10/23,-3,Control,F,0,21
7/10/23,-3,Low,A,0,45
7/10/23,-3,Low,B,0,45
7/10/23,-3,Low,C,0,45
7/10/23,-3,Low,D,0,45
7/10/23,-3,Low,E,0,45
7/10/23,-3,Low,F,0,45
7/10/23,-3,Medium,A,0,45
7/10/23,-3,Medium,B,0,45
7/10/23,-3,Medium,C,0,45
7/10/23,-3,Medium,D,0,45
7/10/23,-3,Medium,E,0,45
7/10/23,-3,Medium,F,0,45
7/10/23,-3,Severe,A,0,45
7/10/23,-3,Severe,B,0,45
7/10/23,-3,Severe,C,0,45
7/10/23,-3,Severe,D,0,45
7/10/23,-3,Severe,E,0,45
7/10/23,-3,Severe,F,0,45
7/17/23,-2,Control,A,0,21
7/17/23,-2,Control,B,0,20
7/17/23,-2,Control,C,0,21
7/17/23,-2,Control,D,0,23
7/17/23,-2,Control,E,0,20
7/17/23,-2,Control,F,0,21
7/17/23,-2,Low,A,0,45
7/17/23,-2,Low,B,0,45
7/17/23,-2,Low,C,0,45
7/17/23,-2,Low,D,0,45
7/17/23,-2,Low,E,0,45
7/17/23,-2,Low,F,0,45
7/17/23,-2,Medium,A,0,45
7/17/23,-2,Medium,B,0,45
7/17/23,-2,Medium,C,0,45
7/17/23,-2,Medium,D,0,45
7/17/23,-2,Medium,E,0,45
7/17/23,-2,Medium,F,0,45
7/17/23,-2,Severe,A,0,45
7/17/23,-2,Severe,B,0,45
7/17/23,-2,Severe,C,0,45
7/17/23,-2,Severe,D,0,45
7/17/23,-2,Severe,E,0,45
7/17/23,-2,Severe,F,0,45
7/24/23,-1,Control,A,0,21
7/24/23,-1,Control,B,0,20
7/24/23,-1,Control,C,0,21
7/24/23,-1,Control,D,0,23
7/24/23,-1,Control,E,0,20
7/24/23,-1,Control,F,0,21
7/24/23,-1,Low,A,0,45
7/24/23,-1,Low,B,0,45
7/24/23,-1,Low,C,0,45
7/24/23,-1,Low,D,0,45
7/24/23,-1,Low,E,0,45
7/24/23,-1,Low,F,0,45
7/24/23,-1,Medium,A,0,45
7/24/23,-1,Medium,B,0,45
7/24/23,-1,Medium,C,0,45
7/24/23,-1,Medium,D,0,45
7/24/23,-1,Medium,E,0,45
7/24/23,-1,Medium,F,0,45
7/24/23,-1,Severe,A,0,45
7/24/23,-1,Severe,B,0,45
7/24/23,-1,Severe,C,0,45
7/24/23,-1,Severe,D,0,45
7/24/23,-1,Severe,E,0,45
7/24/23,-1,Severe,F,0,45
7/31/23,0,Control,A,0,21
7/31/23,0,Control,B,0,20
7/31/23,0,Control,C,0,21
7/31/23,0,Control,D,0,23
7/31/23,0,Control,E,0,20
7/31/23,0,Control,F,0,21
7/31/23,0,Low,A,0,45
7/31/23,0,Low,B,0,45
7/31/23,0,Low,C,0,45
7/31/23,0,Low,D,0,45
7/31/23,0,Low,E,0,45
7/31/23,0,Low,F,0,45
7/31/23,0,Medium,A,0,45
7/31/23,0,Medium,B,0,45
7/31/23,0,Medium,C,0,45
7/31/23,0,Medium,D,0,45
7/31/23,0,Medium,E,0,45
7/31/23,0,Medium,F,0,45
7/31/23,0,Severe,A,0,45
7/31/23,0,Severe,B,0,45
7/31/23,0,Severe,C,0,45
7/31/23,0,Severe,D,0,45
7/31/23,0,Severe,E,0,45
7/31/23,0,Severe,F,0,45
8/7/23,1,Control,A,0,21
8/7/23,1,Control,B,0,20
8/7/23,1,Control,C,0,21
8/7/23,1,Control,D,0,23
8/7/23,1,Control,E,0,20
8/7/23,1,Control,F,0,21
8/7/23,1,Low,A,0,45
8/7/23,1,Low,B,0,45
