plug_label,treat_tank,side,f,fm,fv_fm,colony_id,treatment,bleach_treat,tank,y,x,time_point
10,C_1,top,228,898,0.746,A,C,Control,1,6,4,pre_bleach
10,C_1,side,161,655,0.754,A,C,Control,1,6,4,pre_bleach
10,C_1,top,269,924,0.709,A,C,Control,1,6,4,post_bleach
10,C_1,side,441,1437,0.693,A,C,Control,1,6,4,post_bleach
10,C_1,top,284,948,0.7,A,C,Control,1,6,4,post_RI1
10,C_1,side,450,1591,0.717,A,C,Control,1,6,4,post_RI1
10,C_1,top,293,1093,0.716,A,C,Control,1,6,4,post_RI2
10,C_1,side,374,1258,0.703,A,C,Control,1,6,4,post_RI2
10,C_1,side,370,1220,0.697,A,C,Control,1,6,4,post_RI3
10,C_1,top,461,1633,0.718,A,C,Control,1,6,4,post_RI3
100,L_SD_3,top,150,584,0.743,A,L_SD,Low,3,7,3,pre_bleach
100,L_SD_3,side,201,676,0.703,A,L_SD,Low,3,7,3,pre_bleach
100,L_SD_3,top,181,466,0.594,A,L_SD,Low,3,7,3,post_bleach
100,L_SD_3,side,318,870,0.634,A,L_SD,Low,3,7,3,post_bleach
100,L_SD_3,top,278,856,0.675,A,L_SD,Low,3,7,3,post_RI1
100,L_SD_3,side,353,1189,0.703,A,L_SD,Low,3,7,3,post_RI1
100,L_SD_3,top,490,1327,0.631,A,L_SD,Low,3,7,3,post_RI2
100,L_SD_3,side,584,1614,0.638,A,L_SD,Low,3,7,3,post_RI2
100,L_SD_3,top,603,1533,0.607,A,L_SD,Low,3,7,3,post_RI3
100,L_SD_3,side,631,1711,0.631,A,L_SD,Low,3,7,3,post_RI3
1006,M_SD_1,top,197,776,0.746,F,M_SD,Medium,1,1,7,pre_bleach
1006,M_SD_1,side,220,787,0.72,F,M_SD,Medium,1,1,7,pre_bleach
1006,M_SD_1,top,115,267,0.569,F,M_SD,Medium,1,1,7,post_bleach
1006,M_SD_1,side,305,539,0.434,F,M_SD,Medium,1,1,7,post_bleach
1006,M_SD_1,top,183,583,0.686,F,M_SD,Medium,1,1,7,post_RI1
1006,M_SD_1,side,362,1215,0.702,F,M_SD,Medium,1,1,7,post_RI1
1006,M_SD_1,top,353,1167,0.698,F,M_SD,Medium,1,1,7,post_RI2
1006,M_SD_1,side,506,1730,0.708,F,M_SD,Medium,1,1,7,post_RI2
1006,M_SD_1,top,468,1575,0.703,F,M_SD,Medium,1,1,7,post_RI3
1006,M_SD_1,side,444,1553,0.714,F,M_SD,Medium,1,1,7,post_RI3
1008,L_SS8_2,top,121,512,0.764,F,L_SS8,Low,2,4,8,pre_bleach
1008,L_SS8_2,side,172,593,0.71,F,L_SS8,Low,2,4,8,pre_bleach
1008,L_SS8_2,top,137,392,0.651,F,L_SS8,Low,2,4,8,post_bleach
1008,L_SS8_2,side,292,795,0.633,F,L_SS8,Low,2,4,8,post_bleach
1008,L_SS8_2,top,316,1058,0.701,F,L_SS8,Low,2,4,8,post_RI1
1008,L_SS8_2,side,403,1365,0.705,F,L_SS8,Low,2,4,8,post_RI1
1008,L_SS8_2,top,386,1267,0.695,F,L_SS8,Low,2,4,8,post_RI2
1008,L_SS8_2,side,482,1575,0.694,F,L_SS8,Low,2,4,8,post_RI2
1008,L_SS8_2,side,472,1417,0.667,F,L_SS8,Low,2,4,8,post_RI3
1008,L_SS8_2,top,430,1378,0.688,F,L_SS8,Low,2,4,8,post_RI3
1012,L_RIC_2,top,112,580,0.78,F,L_RIC,Low,2,5,5,pre_bleach
1012,L_RIC_2,side,263,915,0.713,F,L_RIC,Low,2,5,5,pre_bleach
1012,L_RIC_2,top,192,438,0.562,F,L_RIC,Low,2,5,5,post_bleach
1012,L_RIC_2,side,457,1375,0.668,F,L_RIC,Low,2,5,5,post_bleach
1012,L_RIC_2,top,328,1086,0.698,F,L_RIC,Low,2,5,5,post_RI1
1012,L_RIC_2,side,442,1457,0.697,F,L_RIC,Low,2,5,5,post_RI1
1012,L_RIC_2,top,430,1548,0.722,F,L_RIC,Low,2,5,5,post_RI2
1012,L_RIC_2,side,432,1571,0.725,F,L_RIC,Low,2,5,5,post_RI2
1012,L_RIC_2,side,547,1815,0.699,F,L_RIC,Low,2,5,5,post_RI3
1012,L_RIC_2,top,445,1578,0.718,F,L_RIC,Low,2,5,5,post_RI3
1015,L_SD_1,top,210,715,0.706,F,L_SD,Low,1,1,1,pre_bleach
1015,L_SD_1,side,139,516,0.731,F,L_SD,Low,1,1,1,pre_bleach
1015,L_SD_1,top,264,767,0.656,F,L_SD,Low,1,1,1,post_bleach
1015,L_SD_1,side,365,1078,0.661,F,L_SD,Low,1,1,1,post_bleach
1015,L_SD_1,top,233,752,0.69,F,L_SD,Low,1,1,1,post_RI1
1015,L_SD_1,side,444,1330,0.666,F,L_SD,Low,1,1,1,post_RI1
1015,L_SD_1,top,411,1429,0.712,F,L_SD,Low,1,1,1,post_RI2
1015,L_SD_1,side,577,1975,0.708,F,L_SD,Low,1,1,1,post_RI2
1015,L_SD_1,side,570,1491,0.618,F,L_SD,Low,1,1,1,post_RI3
1015,L_SD_1,top,433,1468,0.705,F,L_SD,Low,1,1,1,post_RI3
1016,L_SD_1,top,155,610,0.746,F,L_SD,Low,1,6,12,pre_bleach
1016,L_SD_1,side,115,463,0.753,F,L_SD,Low,1,6,12,pre_bleach
1016,L_SD_1,top,291,784,0.629,F,L_SD,Low,1,6,12,post_bleach
1016,L_SD_1,side,363,1008,0.638,F,L_SD,Low,1,6,12,post_bleach
1016,L_SD_1,top,243,825,0.705,F,L_SD,Low,1,6,12,post_RI1
1016,L_SD_1,side,375,1279,0.707,F,L_SD,Low,1,6,12,post_RI1
1016,L_SD_1,top,488,1650,0.704,F,L_SD,Low,1,6,12,post_RI2
1016,L_SD_1,side,449,1581,0.716,F,L_SD,Low,1,6,12,post_RI2
1016,L_SD_1,side,572,1545,0.63,F,L_SD,Low,1,6,12,post_RI3
1016,L_SD_1,top,550,1823,0.698,F,L_SD,Low,1,6,12,post_RI3
1019,S_SS8_1,top,188,769,0.756,F,S_SS8,Severe,1,3,5,pre_bleach
1019,S_SS8_1,side,268,964,0.722,F,S_SS8,Severe,1,3,5,pre_bleach
1019,S_SS8_1,top,40,95,0,F,S_SS8,Severe,1,3,5,post_bleach
1019,S_SS8_1,side,166,261,0.364,F,S_SS8,Severe,1,3,5,post_bleach
1019,S_SS8_1,top,252,606,0.584,F,S_SS8,Severe,1,3,5,post_RI1
