plug_label,colony_id,time_point,category,treatment,bleach_treat,symbiont_treat,treat_tank,tank,Red,Green,Blue
603,D,t00,Control,C,Control,C,C_1,1,8.265,9.257,4.599
1093,F,t00,Control,C,Control,C,C_1,1,5.503,4.971,3.33
417,C,t00,Control,C,Control,C,C_1,1,5.97,5.709,3.693
1111,F,t00,Control,C,Control,C,C_1,1,5.374,4.689,3.406
608,D,t00,Control,C,Control,C,C_1,1,6.515,6.637,3.738
931,E,t00,Control,C,Control,C,C_1,1,5.762,5.507,3.894
10,A,t00,Control,C,Control,C,C_1,1,5.571,5.965,3.515
1123,F,t00,Control,C,Control,C,C_1,1,5.528,4.993,3.481
969,E,t00,Control,C,Control,C,C_1,1,5.708,5.701,3.668
677,D,t00,Control,C,Control,C,C_1,1,6.838,7.147,4.278
1064,F,t00,Control,C,Control,C,C_1,1,4.942,4.252,3.321
874,E,t00,Control,C,Control,C,C_1,1,6.394,6.032,3.696
591,C,t00,Control,C,Control,C,C_1,1,5.73,5.575,3.497
235,B,t00,Control,C,Control,C,C_1,1,7.257,8.512,4.994
561,C,t00,Control,C,Control,C,C_1,1,6.297,7.302,4.441
328,B,t00,Control,C,Control,C,C_1,1,6.612,6.879,4.173
876,E,t00,Control,C,Control,C,C_1,1,6.239,5.857,3.466
1178,F,t00,Control,C,Control,C,C_1,1,5.869,5.685,3.626
776,D,t00,Control,C,Control,C,C_1,1,6.319,6.764,3.841
26,A,t00,Control,C,Control,C,C_1,1,5.966,6.019,3.691
697,D,t00,Control,C,Control,C,C_1,1,4.919,4.72,3.357
412,C,t00,Control,C,Control,C,C_1,1,5.991,6.256,4.121
299,B,t00,Control,C,Control,C,C_1,1,6.544,6.841,4.239
178,B,t00,Control,C,Control,C,C_1,1,6.387,6.969,4.363
889,E,t00,Control,C,Control,C,C_1,1,6.301,6.061,4.037
564,C,t00,Control,C,Control,C,C_1,1,6.102,6.03,3.807
215,B,t00,Control,C,Control,C,C_1,1,6.382,6.977,4.296
138,A,t00,Control,C,Control,C,C_1,1,5.335,5.249,3.368
1134,F,t00,Control,C,Control,C,C_1,1,5.271,4.989,3.726
811,D,t00,Control,C,Control,C,C_1,1,5.921,5.979,3.576
1090,F,t00,Control,C,Control,C,C_1,1,5.222,4.636,3.486
771,D,t00,Control,C,Control,C,C_1,1,5.476,5.435,3.584
972,E,t00,Control,C,Control,C,C_1,1,5.419,5.008,3.645
208,B,t00,Control,C,Control,C,C_1,1,7.621,8.894,5.143
806,D,t00,Control,C,Control,C,C_1,1,5.812,5.549,3.493
236,B,t00,Control,C,Control,C,C_1,1,7.468,9.046,5.059
325,B,t00,Control,C,Control,C,C_1,1,5.735,5.461,3.71
385,C,t00,Control,C,Control,C,C_1,1,5.52,5.13,3.586
1213,F,t00,Control,C,Control,C,C_1,1,5.115,4.726,3.381
1151,F,t00,Control,C,Control,C,C_1,1,4.663,4.178,3.326
133,A,t00,Control,C,Control,C,C_1,1,5.622,6.109,3.534
648,D,t00,Control,C,Control,C,C_1,1,7.349,8.215,4.373
122,A,t00,Control,C,Control,C,C_2,2,6.765,6.833,3.756
645,D,t00,Control,C,Control,C,C_2,2,6.093,6.306,3.595
1099,F,t00,Control,C,Control,C,C_2,2,5.275,4.922,3.434
732,D,t00,Control,C,Control,C,C_2,2,6.15,6.09,3.844
117,A,t00,Control,C,Control,C,C_2,2,6.439,6.762,3.777
1070,F,t00,Control,C,Control,C,C_2,2,5.159,4.389,3.317
966,E,t00,Control,C,Control,C,C_2,2,6.839,6.746,3.999
330,B,t00,Control,C,Control,C,C_2,2,6.839,7.612,4.445
1087,F,t00,Control,C,Control,C,C_2,2,4.95,4.687,3.476
886,E,t00,Control,C,Control,C,C_2,2,5.518,5.14,3.494
88,A,t00,Control,C,Control,C,C_2,2,6.378,6.465,3.581
682,D,t00,Control,C,Control,C,C_2,2,7.407,7.478,4.553
750,D,t00,Control,C,Control,C,C_2,2,7.634,7.869,4.732
237,B,t00,Control,C,Control,C,C_2,2,7.039,7.483,4.413
720,D,t00,Control,C,Control,C,C_2,2,5.756,5.686,3.515
1041,F,t00,Control,C,Control,C,C_2,2,5.121,4.217,3.29
777,D,t00,Control,C,Control,C,C_2,2,6.075,5.974,3.724
390,C,t00,Control,C,Control,C,C_2,2,6.686,6.973,4.129
85,A,t00,Control,C,Control,C,C_2,2,5.791,5.536,3.435
728,D,t00,Control,C,Control,C,C_2,2,5.543,5.52,3.606
669,D,t00,Control,C,Control,C,C_2,2,5.01,4.27,3.227
903,E,t00,Control,C,Control,C,C_2,2,5.198,4.62,3.43
76,A,t00,Control,C,Control,C,C_2,2,6.029,5.836,3.632
448,C,t00,Control,C,Control,C,C_2,2,6.288,6.37,4.171
1061,F,t00,Control,C,Control,C,C_2,2,5.275,4.71,3.384
1166,F,t00,Control,C,Control,C,C_2,2,5.558,5.176,3.465
177,B,t00,Control,C,Control,C,C_2,2,6.136,6.164,3.933
349,C,t00,Control,C,Control,C,C_2,2,5.4,5.177,3.65
408,C,t00,Control,C,Control,C,C_2,2,5.457,5.094,3.722
965,E,t00,Control,C,Control,C,C_2,2,5.508,5.051,3.53
1053,F,t00,Control,C,Control,C,C_2,2,5.331,4.539,3.386
53,A,t00,Control,C,Control,C,C_2,2,6.371,6.482,3.624
1039,F,t00,Control,C,Control,C,C_2,2,5.26,4.608,3.371
