plug_label,colony_id,treatment,bleach_treat,symbiont_treat,bleach_bath,tank,position,treat_tank,full,y,x,coord_plot
10,A,C,C,C,D,1,32,C_1,C_1_32,6,4,"6, 4"
85,A,C,C,C,D,2,19,C_2,C_2_19,4,2,"4, 2"
26,A,C,C,C,D,1,21,C_1,C_1_21,4,6,"4, 6"
133,A,C,C,C,D,1,5,C_1,C_1_5,1,9,"1, 9"
122,A,C,C,C,D,2,37,C_2,C_2_37,7,1,"7, 1"
172,A,L_RIC,Low,RIC,B,2,40,L_RIC_2,L_RIC_2_40,7,7,"7, 7"
149,A,L_RIC,Low,RIC,B,2,4,L_RIC_2,L_RIC_2_4,1,7,"1, 7"
17,A,L_RIC,Low,RIC,A,1,28,L_RIC_1,L_RIC_1_28,5,7,"5, 7"
123,A,L_RIC,Low,RIC,C,3,33,L_RIC_3,L_RIC_3_33,6,6,"6, 6"
55,A,L_RIC,Low,RIC,A,1,11,L_RIC_1,L_RIC_1_11,2,10,"2, 10"
87,A,L_SD,Low,SD,A,1,4,L_SD_1,L_SD_1_4,1,7,"1, 7"
30,A,L_SD,Low,SD,B,2,19,L_SD_2,L_SD_2_19,4,2,"4, 2"
113,A,L_SD,Low,SD,A,1,35,L_SD_1,L_SD_1_35,6,10,"6, 10"
162,A,L_SD,Low,SD,A,1,39,L_SD_1,L_SD_1_39,7,5,"7, 5"
100,A,L_SD,Low,SD,C,3,38,L_SD_3,L_SD_3_38,7,3,"7, 3"
4,A,L_SS8,Low,SS8,A,1,7,L_SS8_1,L_SS8_1_7,2,2,"2, 2"
77,A,L_SS8,Low,SS8,B,2,35,L_SS8_2,L_SS8_2_35,6,10,"6, 10"
92,A,L_SS8,Low,SS8,B,2,24,L_SS8_2,L_SS8_2_24,4,12,"4, 12"
11,A,L_SS8,Low,SS8,C,3,3,L_SS8_3,L_SS8_3_3,1,5,"1, 5"
61,A,L_SS8,Low,SS8,C,3,14,L_SS8_3,L_SS8_3_14,3,3,"3, 3"
67,A,M_RIC,Medium,RIC,B,2,8,M_RIC_2,M_RIC_2_8,2,4,"2, 4"
47,A,M_RIC,Medium,RIC,B,2,33,M_RIC_2,M_RIC_2_33,6,6,"6, 6"
42,A,M_RIC,Medium,RIC,C,3,11,M_RIC_3,M_RIC_3_11,2,10,"2, 10"
23,A,M_RIC,Medium,RIC,B,2,2,M_RIC_2,M_RIC_2_2,1,3,"1, 3"
22,A,M_RIC,Medium,RIC,A,1,38,M_RIC_1,M_RIC_1_38,7,3,"7, 3"
124,A,M_SD,Medium,SD,C,3,9,M_SD_3,M_SD_3_9,2,6,"2, 6"
135,A,M_SD,Medium,SD,C,3,34,M_SD_3,M_SD_3_34,6,8,"6, 8"
150,A,M_SD,Medium,SD,B,2,30,M_SD_2,M_SD_2_30,5,11,"5, 11"
73,A,M_SD,Medium,SD,C,3,42,M_SD_3,M_SD_3_42,7,11,"7, 11"
111,A,M_SD,Medium,SD,C,3,28,M_SD_3,M_SD_3_28,5,7,"5, 7"
129,A,M_SS8,Medium,SS8,A,1,37,M_SS8_1,M_SS8_1_37,7,1,"7, 1"
5,A,M_SS8,Medium,SS8,C,3,40,M_SS8_3,M_SS8_3_40,7,7,"7, 7"
44,A,M_SS8,Medium,SS8,C,3,10,M_SS8_3,M_SS8_3_10,2,8,"2, 8"
58,A,M_SS8,Medium,SS8,B,2,30,M_SS8_2,M_SS8_2_30,5,11,"5, 11"
14,A,M_SS8,Medium,SS8,C,3,21,M_SS8_3,M_SS8_3_21,4,6,"4, 6"
107,A,S_RIC,Severe,RIC,C,3,33,S_RIC_3,S_RIC_3_33,6,6,"6, 6"
132,A,S_RIC,Severe,RIC,C,3,32,S_RIC_3,S_RIC_3_32,6,4,"6, 4"
114,A,S_RIC,Severe,RIC,A,1,37,S_RIC_1,S_RIC_1_37,7,1,"7, 1"
6,A,S_RIC,Severe,RIC,B,2,40,S_RIC_2,S_RIC_2_40,7,7,"7, 7"
15,A,S_RIC,Severe,RIC,B,2,14,S_RIC_2,S_RIC_2_14,3,3,"3, 3"
41,A,S_SD,Severe,SD,B,2,1,S_SD_2,S_SD_2_1,1,1,"1, 1"
134,A,S_SD,Severe,SD,A,1,18,S_SD_1,S_SD_1_18,3,11,"3, 11"
90,A,S_SD,Severe,SD,B,2,20,S_SD_2,S_SD_2_20,4,4,"4, 4"
96,A,S_SD,Severe,SD,A,1,15,S_SD_1,S_SD_1_15,3,5,"3, 5"
155,A,S_SD,Severe,SD,B,2,26,S_SD_2,S_SD_2_26,5,3,"5, 3"
86,A,S_SS8,Severe,SS8,C,3,22,S_SS8_3,S_SS8_3_22,4,8,"4, 8"
16,A,S_SS8,Severe,SS8,B,2,38,S_SS8_2,S_SS8_2_38,7,3,"7, 3"
1,A,S_SS8,Severe,SS8,C,3,17,S_SS8_3,S_SS8_3_17,3,9,"3, 9"
144,A,S_SS8,Severe,SS8,B,2,40,S_SS8_2,S_SS8_2_40,7,7,"7, 7"
98,A,S_SS8,Severe,SS8,C,3,1,S_SS8_3,S_SS8_3_1,1,1,"1, 1"
215,B,C,C,C,D,1,16,C_1,C_1_16,3,7,"3, 7"
177,B,C,C,C,D,2,15,C_2,C_2_15,3,5,"3, 5"
