plug_label,colony_id,treatment,bleach_treat,symbiont_treat,bleach_bath,tank,position,treat_tank,full,y,x,coord_plot
608,D,C,C,C,D,1,42,C_1,C_1_42,7,11,"7, 11"
328,B,C,C,C,D,1,29,C_1,C_1_29,5,9,"5, 9"
412,C,C,C,C,D,1,23,C_1,C_1_23,4,10,"4, 10"
138,A,C,C,C,D,1,17,C_1,C_1_17,3,9,"3, 9"
237,B,C,C,C,D,2,26,C_2,C_2_26,5,3,"5, 3"
750,D,C,C,C,D,2,25,C_2,C_2_25,5,1,"5, 1"
1061,F,C,C,C,D,2,13,C_2,C_2_13,3,1,"3, 1"
1053,F,C,C,C,D,2,7,C_2,C_2_7,2,2,"2, 2"
33,A,C,C,C,D,2,3,C_2,C_2_3,1,5,"1, 5"
566,C,C,C,C,D,2,2,C_2,C_2_2,1,3,"1, 3"
247,B,C,C,C,D,3,40,C_3,C_3_40,7,7,"7, 7"
670,D,C,C,C,D,3,42,C_3,C_3_42,7,11,"7, 11"
94,A,C,C,C,D,3,34,C_3,C_3_34,6,8,"6, 8"
373,C,C,C,C,D,3,30,C_3,C_3_30,5,11,"5, 11"
964,E,C,C,C,D,3,19,C_3,C_3_19,4,2,"4, 2"
907,E,C,C,C,D,3,9,C_3,C_3_9,2,6,"2, 6"
974,E,C,C,C,D,3,11,C_3,C_3_11,2,10,"2, 10"
1036,F,C,C,C,D,3,3,C_3,C_3_3,1,5,"1, 5"
1047,F,L_RIC,Low,RIC,A,1,18,L_RIC_1,L_RIC_1_18,3,11,"3, 11"
463,C,L_RIC,Low,RIC,A,1,7,L_RIC_1,L_RIC_1_7,2,2,"2, 2"
128,A,L_RIC,Low,RIC,B,2,36,L_RIC_2,L_RIC_2_36,6,12,"6, 12"
937,E,L_RIC,Low,RIC,C,3,37,L_RIC_3,L_RIC_3_37,7,1,"7, 1"
963,E,L_RIC,Low,RIC,C,3,18,L_RIC_3,L_RIC_3_18,3,11,"3, 11"
925,E,L_RIC,Low,RIC,C,3,7,L_RIC_3,L_RIC_3_7,2,2,"2, 2"
572,C,L_SD,Low,SD,A,1,16,L_SD_1,L_SD_1_16,3,7,"3, 7"
229,B,L_SD,Low,SD,B,2,28,L_SD_2,L_SD_2_28,5,7,"5, 7"
186,B,L_SD,Low,SD,B,2,16,L_SD_2,L_SD_2_16,3,7,"3, 7"
1083,F,L_SD,Low,SD,C,3,12,L_SD_3,L_SD_3_12,2,12,"2, 12"
571,C,L_SD,Low,SD,C,3,3,L_SD_3,L_SD_3_3,1,5,"1, 5"
633,D,L_SS8,Low,SS8,A,1,40,L_SS8_1,L_SS8_1_40,7,7,"7, 7"
181,B,L_SS8,Low,SS8,A,1,31,L_SS8_1,L_SS8_1_31,6,2,"6, 2"
173,A,L_SS8,Low,SS8,A,1,15,L_SS8_1,L_SS8_1_15,3,5,"3, 5"
703,D,L_SS8,Low,SS8,A,1,9,L_SS8_1,L_SS8_1_9,2,6,"2, 6"
159,A,L_SS8,Low,SS8,A,1,11,L_SS8_1,L_SS8_1_11,2,10,"2, 10"
691,D,L_SS8,Low,SS8,B,2,1,L_SS8_2,L_SS8_2_1,1,1,"1, 1"
1073,F,L_SS8,Low,SS8,C,3,9,L_SS8_3,L_SS8_3_9,2,6,"2, 6"
1132,F,M_RIC,Medium,RIC,A,1,33,M_RIC_1,M_RIC_1_33,6,6,"6, 6"
595,D,M_RIC,Medium,RIC,A,1,21,M_RIC_1,M_RIC_1_21,4,6,"4, 6"
196,B,M_RIC,Medium,RIC,A,1,14,M_RIC_1,M_RIC_1_14,3,3,"3, 3"
169,A,M_RIC,Medium,RIC,B,2,13,M_RIC_2,M_RIC_2_13,3,1,"3, 1"
539,C,M_RIC,Medium,RIC,C,3,22,M_RIC_3,M_RIC_3_22,4,8,"4, 8"
503,C,M_RIC,Medium,RIC,C,3,14,M_RIC_3,M_RIC_3_14,3,3,"3, 3"
1027,F,M_SD,Medium,SD,A,1,12,M_SD_1,M_SD_1_12,2,12,"2, 12"
665,D,M_SD,Medium,SD,B,2,34,M_SD_2,M_SD_2_34,6,8,"6, 8"
1153,F,M_SD,Medium,SD,B,2,35,M_SD_2,M_SD_2_35,6,10,"6, 10"
271,B,M_SD,Medium,SD,B,2,6,M_SD_2,M_SD_2_6,1,11,"1, 11"
309,B,M_SD,Medium,SD,C,3,37,M_SD_3,M_SD_3_37,7,1,"7, 1"
957,E,M_SD,Medium,SD,C,3,15,M_SD_3,M_SD_3_15,3,5,"3, 5"
825,E,M_SS8,Medium,SS8,A,1,38,M_SS8_1,M_SS8_1_38,7,3,"7, 3"
49,A,M_SS8,Medium,SS8,A,1,42,M_SS8_1,M_SS8_1_42,7,11,"7, 11"
992,E,M_SS8,Medium,SS8,A,1,27,M_SS8_1,M_SS8_1_27,5,5,"5, 5"
713,D,M_SS8,Medium,SS8,A,1,26,M_SS8_1,M_SS8_1_26,5,3,"5, 3"
2,A,M_SS8,Medium,SS8,A,1,8,M_SS8_1,M_SS8_1_8,2,4,"2, 4"
523,C,M_SS8,Medium,SS8,B,2,31,M_SS8_2,M_SS8_2_31,6,2,"6, 2"
223,B,S_RIC,Severe,RIC,A,1,38,S_RIC_1,S_RIC_1_38,7,3,"7, 3"
399,C,S_RIC,Severe,RIC,A,1,42,S_RIC_1,S_RIC_1_42,7,11,"7, 11"
1067,F,S_RIC,Severe,RIC,A,1,10,S_RIC_1,S_RIC_1_10,2,8,"2, 8"
1002,F,S_RIC,Severe,RIC,B,2,22,S_RIC_2,S_RIC_2_22,4,8,"4, 8"
1033,F,S_RIC,Severe,RIC,B,2,20,S_RIC_2,S_RIC_2_20,4,4,"4, 4"
242,B,S_RIC,Severe,RIC,B,2,24,S_RIC_2,S_RIC_2_24,4,12,"4, 12"
760,D,S_RIC,Severe,RIC,B,2,17,S_RIC_2,S_RIC_2_17,3,9,"3, 9"
158,A,S_RIC,Severe,RIC,C,3,37,S_RIC_3,S_RIC_3_37,7,1,"7, 1"
644,D,S_RIC,Severe,RIC,C,3,24,S_RIC_3,S_RIC_3_24,4,12,"4, 12"
398,C,S_SD,Severe,SD,C,3,33,S_SD_3,S_SD_3_33,6,6,"6, 6"
975,E,S_SD,Severe,SD,C,3,18,S_SD_3,S_SD_3_18,3,11,"3, 11"
66,A,S_SS8,Severe,SS8,A,1,30,S_SS8_1,S_SS8_1_30,5,11,"5, 11"
605,D,S_SS8,Severe,SS8,A,1,22,S_SS8_1,S_SS8_1_22,4,8,"4, 8"
256,B,S_SS8,Severe,SS8,A,1,21,S_SS8_1,S_SS8_1_21,4,6,"4, 6"
18,A,S_SS8,Severe,SS8,A,1,10,S_SS8_1,S_SS8_1_10,2,8,"2, 8"
511,C,S_SS8,Severe,SS8,B,2,36,S_SS8_2,S_SS8_2_36,6,12,"6, 12"
921,E,S_SS8,Severe,SS8,B,2,18,S_SS8_2,S_SS8_2_18,3,11,"3, 11"
939,E,S_SS8,Severe,SS8,C,3,7,S_SS8_3,S_SS8_3_7,2,2,"2, 2"
