plug_label,colony_id,treatment,bleach_treat,symbiont_treat,bleach_bath,tank,position,treat_tank,full,y,x,coord_plot
75,A,S_RIC,Severe,RIC,C,3,16,S_RIC_3,S_RIC_3_16,3,7,"3, 7"
91,A,C,C,C,D,3,36,C_3,C_3_36,6,12,"6, 12"
97,A,C,C,C,D,3,39,C_3,C_3_39,7,5,"7, 5"
161,A,S_SS8,Severe,SS8,A,1,12,S_SS8_1,S_SS8_1_12,2,12,"2, 12"
174,A,S_RIC,Severe,RIC,A,1,24,S_RIC_1,S_RIC_1_24,4,12,"4, 12"
187,B,L_SD,Low,SD,C,3,9,L_SD_3,L_SD_3_9,2,6,"2, 6"
182,B,M_RIC,Medium,RIC,A,1,4,M_RIC_1,M_RIC_1_4,1,7,"1, 7"
288,B,S_SS8,Severe,SS8,A,1,8,S_SS8_1,S_SS8_1_8,2,4,"2, 4"
312,B,S_SD,Severe,SD,C,3,40,S_SD_3,S_SD_3_40,7,7,"7, 7"
243,B,L_SD,Low,SD,B,2,35,L_SD_2,L_SD_2_35,6,10,"6, 10"
337,C,L_SS8,Low,SS8,A,1,36,L_SS8_1,L_SS8_1_36,6,12,"6, 12"
513,C,S_SD,Severe,SD,B,2,17,S_SD_2,S_SD_2_17,3,9,"3, 9"
407,C,S_SS8,Severe,SS8,C,3,20,S_SS8_3,S_SS8_3_20,4,4,"4, 4"
453,C,S_SS8,Severe,SS8,B,2,42,S_SS8_2,S_SS8_2_42,7,11,"7, 11"
446,C,M_SD,Medium,SD,A,1,35,M_SD_1,M_SD_1_35,6,10,"6, 10"
686,D,S_SD,Severe,SD,C,3,8,S_SD_3,S_SD_3_8,2,4,"2, 4"
766,D,L_SS8,Low,SS8,A,1,2,L_SS8_1,L_SS8_1_2,1,3,"1, 3"
799,D,M_SS8,Medium,SS8,B,2,35,M_SS8_2,M_SS8_2_35,6,10,"6, 10"
697,D,C,C,C,D,1,22,C_1,C_1_22,4,8,"4, 8"
615,D,L_RIC,Low,RIC,A,1,19,L_RIC_1,L_RIC_1_19,4,2,"4, 2"
859,E,S_SS8,Severe,SS8,B,2,23,S_SS8_2,S_SS8_2_23,4,10,"4, 10"
844,E,M_RIC,Medium,RIC,C,3,20,M_RIC_3,M_RIC_3_20,4,4,"4, 4"
874,E,C,C,C,D,1,25,C_1,C_1_25,5,1,"5, 1"
865,E,M_SS8,Medium,SS8,C,3,3,M_SS8_3,M_SS8_3_3,1,5,"1, 5"
890,E,S_RIC,Severe,RIC,A,1,15,S_RIC_1,S_RIC_1_15,3,5,"3, 5"
1156,F,L_SS8,Low,SS8,A,1,1,L_SS8_1,L_SS8_1_1,1,1,"1, 1"
1050,F,M_RIC,Medium,RIC,A,1,8,M_RIC_1,M_RIC_1_8,2,4,"2, 4"
1162,F,L_SS8,Low,SS8,C,3,17,L_SS8_3,L_SS8_3_17,3,9,"3, 9"
1029,F,M_SD,Medium,SD,B,2,9,M_SD_2,M_SD_2_9,2,6,"2, 6"
1052,F,S_SS8,Severe,SS8,A,1,3,S_SS8_1,S_SS8_1_3,1,5,"1, 5"
