plug_label,colony_id,bleach_treat,symbiont_treat,treatment,tank,treat_tank,coord_plot,t00,t14
236,B,Control,C,C,1,C_1,"7, 1",4.444,7.495
603,D,Control,C,C,1,C_1,"7, 3",7.946,11.742
1093,F,Control,C,C,1,C_1,"7, 5",3.455,7.774
417,C,Control,C,C,1,C_1,"7, 7",2.757,3.366
1111,F,Control,C,C,1,C_1,"7, 9",6.911,8.997
608,D,Control,C,C,1,C_1,"7, 11",6.438,9.492
931,E,Control,C,C,1,C_1,"6, 2",2.667,3.757
10,A,Control,C,C,1,C_1,"6, 4",5.544,7.542
1123,F,Control,C,C,1,C_1,"6, 6",5.689,8.618
969,E,Control,C,C,1,C_1,"6, 8",7.277,9.515
677,D,Control,C,C,1,C_1,"6, 10",2.482,3.048
1064,F,Control,C,C,1,C_1,"6, 12",7.198,13.339
874,E,Control,C,C,1,C_1,"5, 1",3.383,3.973
591,C,Control,C,C,1,C_1,"5, 3",2.75,4.277
235,B,Control,C,C,1,C_1,"5, 5",6.612,11.333
561,C,Control,C,C,1,C_1,"5, 7",4.033,8.525
328,B,Control,C,C,1,C_1,"5, 9",7.022,11.563
876,E,Control,C,C,1,C_1,"5, 11",6.176,8.189
1178,F,Control,C,C,1,C_1,"4, 2",7.202,13.351
776,D,Control,C,C,1,C_1,"4, 4",5.033,9.361
26,A,Control,C,C,1,C_1,"4, 6",5.56,8.846
697,D,Control,C,C,1,C_1,"4, 8",3.648,NA
412,C,Control,C,C,1,C_1,"4, 10",3.45,5.268
299,B,Control,C,C,1,C_1,"4, 12",6.319,11.228
178,B,Control,C,C,1,C_1,"3, 1",3.967,8.211
889,E,Control,C,C,1,C_1,"3, 3",3.432,5.208
564,C,Control,C,C,1,C_1,"3, 5",3.836,6.162
215,B,Control,C,C,1,C_1,"3, 7",4.822,10.464
138,A,Control,C,C,1,C_1,"3, 9",5.241,7.882
1134,F,Control,C,C,1,C_1,"3, 11",4.145,9.96
811,D,Control,C,C,1,C_1,"2, 2",4.232,6.628
1090,F,Control,C,C,1,C_1,"2, 4",4.309,7.974
771,D,Control,C,C,1,C_1,"2, 6",3.301,6.379
972,E,Control,C,C,1,C_1,"2, 8",6.494,8.483
208,B,Control,C,C,1,C_1,"2, 10",4.676,9.017
806,D,Control,C,C,1,C_1,"2, 12",4.106,4.123
325,B,Control,C,C,1,C_1,"1, 1",7.989,11.786
1213,F,Control,C,C,1,C_1,"1, 5",6.607,11.41
1151,F,Control,C,C,1,C_1,"1, 7",3.583,4.82
